League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Serie A,06/04/2026,Juventus,Genoa,1.93,1.83
Serie A,06/04/2026,Napoli,Milan,2.26,1.6
Serie A,10/04/2026,Roma,Pisa,1.8,1.96
Serie A,11/04/2026,Cagliari,Cremonese,2.28,1.6
Serie A,11/04/2026,Torino,Verona,2.37,1.56
Serie A,11/04/2026,Milan,Udinese,1.79,1.97
Serie A,11/04/2026,Atalanta,Juventus,1.8,1.95
Serie A,12/04/2026,Genoa,Sassuolo,2.12,1.68
Serie A,12/04/2026,Parma,Napoli,2.17,1.66
Serie A,12/04/2026,Bologna,Lecce,2.17,1.65
Serie A,12/04/2026,Como,Inter,1.85,1.9
Serie A,13/04/2026,Fiorentina,Lazio,2.18,1.65
Serie A,17/04/2026,Sassuolo,Como,1.66,2.17
Serie A,17/04/2026,Inter,Cagliari,1.56,2.35
Serie A,18/04/2026,Udinese,Parma,2.27,1.6
Serie A,18/04/2026,Napoli,Lazio,2.17,1.66
Serie A,18/04/2026,Roma,Atalanta,1.98,1.78
Serie A,19/04/2026,Cremonese,Torino,2.18,1.65
Serie A,19/04/2026,Verona,Milan,2,1.76
Serie A,19/04/2026,Pisa,Genoa,2.38,1.54
Serie A,19/04/2026,Juventus,Bologna,1.71,02.08
Serie A,20/04/2026,Lecce,Fiorentina,2.1,1.69
Serie A,24/04/2026,Napoli,Cremonese,1.87,1.87
Serie A,25/04/2026,Parma,Pisa,2.26,1.59
Serie A,25/04/2026,Bologna,Roma,02.05,1.72
Serie A,25/04/2026,Verona,Lecce,2.66,1.44
Serie A,26/04/2026,Fiorentina,Sassuolo,1.84,1.91
Serie A,26/04/2026,Genoa,Como,1.98,1.77
Serie A,26/04/2026,Torino,Inter,1.64,2.19
Serie A,26/04/2026,Milan,Juventus,1.94,1.81
Serie A,27/04/2026,Cagliari,Atalanta,1.9,1.84
Serie A,27/04/2026,Lazio,Udinese,2.18,1.64
Serie A,01/05/2026,Pisa,Lecce,2.51,1.49
Serie A,02/05/2026,Udinese,Torino,02.09,1.69
Serie A,02/05/2026,Como,Napoli,2.12,1.68
Serie A,02/05/2026,Atalanta,Genoa,1.79,1.95
Serie A,03/05/2026,Bologna,Cagliari,02.09,1.69
Serie A,03/05/2026,Sassuolo,Milan,1.69,2.1
Serie A,03/05/2026,Juventus,Verona,1.62,2.21
Serie A,03/05/2026,Inter,Parma,1.48,2.55
Serie A,04/05/2026,Cremonese,Lazio,2.1,1.69
Serie A,04/05/2026,Roma,Fiorentina,1.84,1.91
