League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Ligue 1,21/03/2026,Toulouse,Lorient,2.12,1.67
Ligue 1,21/03/2026,Auxerre,Brest,2.16,1.65
Ligue 1,21/03/2026,Nice,Paris SG,1.37,2.94
Ligue 1,22/03/2026,Lyon,Monaco,1.69,02.09
Ligue 1,22/03/2026,Marseille,Lille,1.74,02.01
Ligue 1,22/03/2026,Paris FC,Le Havre,02.06,1.7
Ligue 1,22/03/2026,Rennes,Metz,1.54,2.36
Ligue 1,22/03/2026,Nantes,Strasbourg,1.9,1.84
Ligue 1,03/04/2026,Paris SG,Toulouse,1.42,2.74
Ligue 1,04/04/2026,Strasbourg,Nice,1.69,02.09
Ligue 1,04/04/2026,Brest,Rennes,1.83,1.9
Ligue 1,04/04/2026,Lille,Lens,1.8,1.94
Ligue 1,05/04/2026,Angers,Lyon,2.12,1.67
Ligue 1,05/04/2026,Le Havre,Auxerre,2.22,1.61
Ligue 1,05/04/2026,Lorient,Paris FC,02.08,1.69
Ligue 1,05/04/2026,Metz,Nantes,2.13,1.67
Ligue 1,05/04/2026,Monaco,Marseille,1.53,2.41
Ligue 1,10/04/2026,Paris FC,Monaco,1.61,2.25
Ligue 1,10/04/2026,Marseille,Metz,1.38,2.9
Ligue 1,11/04/2026,Auxerre,Nantes,2.26,1.6
Ligue 1,11/04/2026,Rennes,Angers,1.64,2.17
Ligue 1,12/04/2026,Nice,Le Havre,1.93,1.81
Ligue 1,12/04/2026,Toulouse,Lille,2.14,1.66
Ligue 1,12/04/2026,Lyon,Lorient,1.86,1.87
Ligue 1,17/04/2026,Lens,Toulouse,1.65,2.17
Ligue 1,18/04/2026,Lorient,Marseille,1.65,2.15
Ligue 1,18/04/2026,Angers,Le Havre,2.3,1.56
Ligue 1,18/04/2026,Lille,Nice,1.76,1.99
Ligue 1,19/04/2026,Monaco,Auxerre,1.69,2.1
Ligue 1,19/04/2026,Metz,Paris FC,1.83,1.91
Ligue 1,19/04/2026,Nantes,Brest,02.09,1.69
Ligue 1,19/04/2026,Strasbourg,Rennes,1.65,2.15
Ligue 1,19/04/2026,Paris SG,Lyon,1.41,2.77
Ligue 1,22/04/2026,Paris SG,Nantes,1.31,3.23
Ligue 1,24/04/2026,Brest,Lens,1.62,2.21
Ligue 1,25/04/2026,Lyon,Auxerre,1.83,1.91
Ligue 1,25/04/2026,Angers,Paris SG,1.48,2.52
Ligue 1,25/04/2026,Toulouse,Monaco,1.66,2.13
Ligue 1,26/04/2026,Lorient,Strasbourg,1.76,1.98
Ligue 1,26/04/2026,Le Havre,Metz,1.88,1.86
Ligue 1,26/04/2026,Paris FC,Lille,1.84,1.9
Ligue 1,26/04/2026,Rennes,Nantes,1.6,2.24
Ligue 1,26/04/2026,Marseille,Nice,1.42,2.69
Ligue 1,02/05/2026,Nantes,Marseille,1.62,2.19
Ligue 1,02/05/2026,Paris SG,Lorient,1.39,2.86
Ligue 1,02/05/2026,Metz,Monaco,1.37,2.95
Ligue 1,02/05/2026,Nice,Lens,1.55,2.34
Ligue 1,03/05/2026,Lille,Le Havre,1.82,1.91
Ligue 1,03/05/2026,Auxerre,Angers,2.17,1.64
Ligue 1,03/05/2026,Paris FC,Brest,1.89,1.84
Ligue 1,03/05/2026,Strasbourg,Toulouse,1.78,1.96
Ligue 1,03/05/2026,Lyon,Rennes,1.65,2.14
